schema_id	name	descript	notes
1	field	Data field properties	Includes both constant properties such as Title and dynamically calculated ones such as the number of participants with data. Properties included are: <ol> <li>field_id</li> <li>title</li> <li>available (0 full, 1 view-only, 4 retired)</li> <li>stability (0 complete, 1 updateable, 2 accruing, 3 variable)</li> <li>private (0 public, 1 restricted)</li> <li>value_type (11 int, 21 single choice, 22 multi choice, 31 real, 41 string, 51 date, 61 time, 101 compound, 201 blob)</li> <li>base_type (0 see value type, 11 int, 31 real, 41 string, 51 date)</li> <li>item_type (0 data, 10 sample, 20 bulk, 30 record)</li> <li>strata (0 primary, 2 auxillary, 3 derived)</li> <li>instanced (0 no, 1 defined, 2 variable)</li> <li>arrayed (0 no, 1 yes)</li> <li>sexed (0 unisex, 1 male, 2 female)</li> <li>units</li> <li>main_category</li> <li>encoding_id</li> <li>instance_id</li> <li>instance_min</li> <li>instance_max</li> <li>array_min</li> <li>array_max</li> <li>notes</li> <li>debut</li> <li>version</li> <li>num_participants</li> <li>item_count </li> <li>showcase_order</li> <li>tier</li></ol>
2	encoding	Encoding dictionaries	Dictionary of encodings used for categorical variables. The actual values associated with each encoding are held in the "Values of ... encodings" schema. Properties included are: <ol> <li>encoding_id</li> <li>title</li> <li>availability (0 yes)</li> <li>coded_as (11 int, 31 real, 41 string, 51 date</li> <li>structure (1 list, 2 tree)</li> <li>num_members</li> <li>descript</li> </ol>
3	category	Categories used to group data fields and other objects on Showcase interface	Properties included are: <ol> <li>category_id</li> <li>title</li> <li>availability</li> <li>group_type</li> <li>descript</li> <li>notes</li> </ol>
4	returns	Returned datasets from Applications	Lists the datasets returned to UK Biobank by researchers which have been approved for release to other researchers. Properties included are: <ol> <li>archive_id</li> <li>application_id</li> <li>title</li> <li>availability</li> <li>personal</li> <li>notes</li> </ol>
5	esimpint	Values for simple integer encodings	Properties included are: <ol> <li>encoding_id</li> <li>value</li> <li>meaning</li><li>showcase_order</li></ol>
6	esimpstring	Values for simple string encodings	Properties included are: <ol> <li>encoding_id</li> <li>value</li> <li>meaning</li><li>showcase_order</li> </ol>
7	esimpreal	Values for simple real (floating-point) encodings	Properties included are: <ol> <li>encoding_id</li> <li>value</li> <li>meaning</li> <li>showcase_order</li></ol>
8	esimpdate	Values for simple date encodings	Properties included are: <ol> <li>encoding_id</li> <li>value</li> <li>meaning</li> <li>showcase_order</li></ol>
9	instances	Instancing dictionaries	Dictionaires of codings used to described data fields which contain multiple instances of a value. Properties included are: <ol> <li>instance_id</li> <li>descript</li> <li>num_members</li> </ol>
10	insvalue	Values for instances	Values of specifically-indexed instances, to be used in conjunction with Schema 9. Properties included are: <ol><li>instance_id</li> <li>index</li> <li>title</li> <li>descript</li> </ol>
11	ehierint	Values for hierarchical integer encodings	Hierarchical encodings are sets of values linked in a "tree structure" in which the value above another one in the tree is known as the parent of the latter. Properties included are: <ol> <li>encoding_id</li> <li>code_id</li> <li>parent_id</li> <li>value</li> <li>meaning</li> <li>selectable</li> <li>showcase_order</li></ol>
12	ehierstring	Values for hierarchical string encodings	Hierarchical encodings are sets of values linked in a "tree structure" in which the value above another one in the tree is known as the parent of the latter. Properties included are: <ol> <li>encoding_id</li> <li>code_id</li> <li>parent_id</li> <li>value</li> <li>meaning</li> <li>selectable</li> <li>showcase_order</li></ol>
13	catbrowse	Category browse tree structure	The browse tree is structured as a set of parent-child relationship whereby the parent category is one above the (possibly multiple) child categories. The IDs listed are defined in Schema 3. Properties included are: <ol> <li>parent_id</li> <li>child_id</li> <li>showcase_order</li></ol>
14	recommended	Data field recommendations	UK Biobank maintains lists of 'recommended' data fields which researchers are encouraged to use as starting points for baskets in various areas of interest. Properties included are: <ol> <li>Category ID</li> <li>Field ID</li> </ol> These categories are identified in schema 3 as having group_type=0.
15	snps	Genotyped SNPs	The results of the UKB genotyping exercise to determine 800,000 SNPs using a custom chip. <br>Properties included are: <p> <ol> <li>affy_id</li> <li>rs_id</li> <li>chr_id</li> <li>pos_int</li> <li>pos_end_int</li> <li>nitems</li> <li>num_aa0</li> <li>num_ab1</li> <li>num_bb2</li> <li>num_x3</li> <li>loctype_int</li> <li>strand</li> <li>strand_vs_snp</li> <li>ref</li> <li>allele_a</li> <li>allele_b</li> </ol>
16	fieldsum	Data field summary	Primay characteristics of data fields. Properties included are: <ol> <li>field_id</li> <li>title</li> <li>item_type</li> </ol>
17	record_table	Record tables available via data portal	Properties included are: <ol> <li>rectab_id - unique identifier for table</li> <li>table_name - used for selection in portal</li> <li>record_field_id - Showcase field which gives access to these records</li> <li>parent_id - the rectab_id for any table which is the parent to this one in a perent-child relationship</li> <li>title - human readable description</li> <li>available - data available iff value is 0</li> <li>private - data restricted unless 0</li> <li>nrows - approximate number of rows (will change with withdrawals)</li> <li>notes - text description of table contents/purpose</li> </ol>
18	record_column	Columns of data in Record tables	Properties included are: <ol> <li>rectab_id - links to record_table</li> <li>column_name</li> <li>~Hvalue_type~value_type~</li> <li>encoding_id - references Showcase ~Hdata_coding~encodings~</li> <li>orda</li> <li>units</li> <li>notes</li></ol>
19	publication	Publications	Publications related to the study, the use of its data and results generated therefrom. Properties included are: <p> <ol> <li>publication id (UKB internal)</li> <li>title</li> <li>keywords</li> <li>author(s)</li> <li>journal</li> <li>year of publication</li> <li>publication date</li> <li>abstract</li> <li>PubMed ID</li> <li>DOI</li> <li>URL</li> <li>Total citations</li> <li>Recent citations (last 2 years)</li> <li>When citation counts last updated</li></ol>
20	esimptime	Values for simple time encodings	Properties included are: <ol> <li>encoding_id</li> <li>value</li> <li>meaning</li> <li>showcase_order</li></ol>
21	related	Related data field linkages	This schema shows how individual data fields are related. Properties included are: <ol> <li>ID for field A (lowest ID)</li> <li>ID for field B</li> <li>Text description of the relationship between the fields A and B</li> </ol>
22	intresource	Resources (internal)	Describe the resources held internally by UKB
23	extresource	Resources (external)	External resources
24	appxpub	Links between Applications and Publications	Properties included are: <ol> <li>app_id - ~Happlication~application~ ID</li> <li>pub_id - ~Hpublication~publication~ ID</li> </ol>
25	fieldxref	Links between Fields and Resources	Properties included are: <ol> <li>field_id - ~Hdata_field~field~ ID </li> <li>ref_id - ~Hresources~resource~ ID</li> </ol>
26	catxref	Links between Categories and Resources	Properties included are: <ol> <li>label_id - ~Hcategory~category~ ID </li> <li>ref_id - ~Hresources~resource~ ID</li> </ol>
27	application	Applications (researcher projects)	Applications (researcher projects) which have been approved for access to UK Biobank data. <p> Properties included are: <ol> <li>app_id - ~Happlication~application~ ID <li>title - title of research project</li> <li>pi - principal investigator</li> <li>institution - institution primarily responsible</li> <li>notes - description of project</li> </ol>
999	schema	Schema provided for the Showcase service	Properties included are: <ol> <li>schema_id</li> <li>name</li> <li>descript</li> <li>notes</li> </ol>
